Booking Date,Count
2023-05-23,370
2023-05-24,280
2023-05-25,320
2023-05-26,276
2023-05-27,293
2023-05-28,340
2023-05-29,341
2023-05-30,323
2023-05-31,383
2023-06-01,296
2023-06-02,267
2023-06-03,283
2023-06-04,220
2023-06-05,249
2023-06-06,312
2023-06-07,310
2023-06-08,288
2023-06-09,250
2023-06-10,254
2023-06-11,305
2023-06-12,332
2023-06-13,379
2023-06-14,327
2023-06-15,360
2023-06-16,258
2023-06-17,337
2023-06-18,349
2023-06-19,308
2023-06-20,190
2023-06-21,277
2023-06-22,321
2023-06-23,321
2023-06-24,374
2023-06-25,310
2023-06-26,414
2023-06-27,504
2023-06-28,407
2023-06-29,328
2023-06-30,264
2023-07-01,380
2023-07-02,369
2023-07-03,413
2023-07-04,393
2023-07-05,420
2023-07-06,339
2023-07-07,273
2023-07-08,432
2023-07-09,505
2023-07-10,512
2023-07-11,393
2023-07-12,353
2023-07-13,382
2023-07-14,373
2023-07-15,432
2023-07-16,395
2023-07-17,422
2023-07-18,430
2023-07-19,443
2023-07-20,408
2023-07-21,344
